Type de Bois,b (mm),h (mm)
Bois Massif,60,100
Bois Massif,60,120
Bois Massif,60,140
Bois Massif,60,160
Bois Massif,60,180
Bois Massif,60,200
Bois Massif,80,100
Bois Massif,80,120
Bois Massif,80,140
Bois Massif,80,160
Bois Massif,80,180
Bois Massif,80,200
Bois Massif,80,220
Bois Massif,80,240
Bois Massif,100,100
Bois Massif,100,120
Bois Massif,100,140
Bois Massif,100,160
Bois Massif,100,180
Bois Massif,100,200
Bois Massif,100,220
Bois Massif,100,240
Bois Massif,100,260
Bois Massif,100,280
Bois Massif,120,120
Bois Massif,120,140
Bois Massif,120,160
Bois Massif,120,180
Bois Massif,120,200
Bois Massif,120,220
Bois Massif,120,240
Bois Massif,120,260
Bois Massif,120,280
Bois Massif,140,140
Bois Massif,140,160
Bois Massif,140,180
Bois Massif,140,200
Bois Massif,140,220
Bois Massif,140,240
Bois Massif,140,260
Bois Massif,140,280
Bois Massif,160,160
Bois Massif,160,180
Bois Massif,160,200
Bois Massif,160,220
Bois Massif,160,240
Bois Massif,160,260
Bois Massif,160,280
Bois Massif,160,300
Bois Massif,180,180
Bois Massif,180,200
Bois Massif,180,220
Bois Massif,180,240
Bois Massif,180,260
Bois Massif,180,280
Bois Massif,180,300
Bois Massif,200,200
Bois Massif,200,220
Bois Massif,200,240
Bois Massif,200,260
Bois Massif,200,280
Bois Massif,200,300
Bois Massif,220,220
Bois Massif,220,240
Bois Massif,220,260
Bois Massif,220,280
Bois Massif,220,300
Bois Massif,240,240
Bois Massif,240,260
Bois Massif,240,280
Bois Massif,240,300
BLC,100,120
BLC,100,160
BLC,100,200
BLC,100,240
BLC,100,280
BLC,100,320
BLC,100,360
BLC,100,400
BLC,100,440
BLC,120,120
BLC,120,160
BLC,120,200
BLC,120,240
BLC,120,280
BLC,120,320
BLC,120,360
BLC,120,400
BLC,120,440
BLC,120,480
BLC,140,160
BLC,140,200
BLC,140,240
BLC,140,280
BLC,140,320
BLC,140,360
BLC,140,400
BLC,140,440
BLC,140,480
BLC,140,520
BLC,140,560
BLC,140,600
BLC,160,160
BLC,160,200
BLC,160,240
BLC,160,280
BLC,160,320
BLC,160,360
BLC,160,400
BLC,160,440
BLC,160,480
BLC,160,520
BLC,160,560
BLC,160,600
BLC,160,640
BLC,160,680
BLC,160,720
BLC,160,760
BLC,160,800
BLC,160,840
BLC,160,880
BLC,160,920
BLC,160,960
BLC,160,1000
BLC,180,200
BLC,180,240
BLC,180,280
BLC,180,320
BLC,180,360
BLC,180,400
BLC,180,440
BLC,180,480
BLC,180,520
BLC,180,560
BLC,180,600
BLC,180,640
BLC,180,680
BLC,180,720
BLC,180,760
BLC,180,800
BLC,180,840
BLC,180,880
BLC,180,920
BLC,180,960
BLC,180,1000
BLC,200,200
BLC,200,240
BLC,200,280
BLC,200,320
BLC,200,360
BLC,200,400
BLC,200,440
BLC,200,480
BLC,200,520
BLC,200,560
BLC,200,600
BLC,200,640
BLC,200,680
BLC,200,720
BLC,200,760
BLC,200,800
BLC,200,840
BLC,200,880
BLC,200,920
BLC,200,960
BLC,200,1000
